Year,Age,Sex,Population
2022,0-4,male,1568276
2022,5-9,male,1707638
2022,10-14,male,1789255
2022,15-19,male,1703618
2022,20-24,male,1740839
2022,25-29,male,1836278
2022,30-34,male,1933496
2022,35-39,male,1865668
2022,40-44,male,1798188
2022,45-49,male,1713834
2022,50-54,male,1901068
2022,55-59,male,1892533
2022,60-64,male,1661598
2022,65-69,male,1372227
2022,70-74,male,1264199
2022,75-79,male,1064194
2022,80-84,male,634345
2022,85-89,male,367817
2022,90-94,male,140311
2022,95-99,male,28064
2022,0-4,female,1497099
2022,5-9,female,1629351
2022,10-14,female,1705034
2022,15-19,female,1606478
2022,20-24,female,1695715
2022,25-29,female,1884992
2022,30-34,female,2058539
2022,35-39,female,1994319
2022,40-44,female,1887642
2022,45-49,female,1765240
2022,50-54,female,1965506
2022,55-59,female,1961166
2022,60-64,female,1719417
2022,65-69,female,1453538
2022,70-74,female,1393523
2022,75-79,female,1219566
2022,80-84,female,803315
2022,85-89,female,536705
2022,90-94,female,262268
2022,95-99,female,75398
2022,0-4,persons,3065375
2022,5-9,persons,3336989
2022,10-14,persons,3494289
2022,15-19,persons,3310096
2022,20-24,persons,3436554
2022,25-29,persons,3721270
2022,30-34,persons,3992035
2022,35-39,persons,3859987
2022,40-44,persons,3685830
2022,45-49,persons,3479074
2022,50-54,persons,3866574
2022,55-59,persons,3853699
2022,60-64,persons,3381015
2022,65-69,persons,2825765
2022,70-74,persons,2657722
2022,75-79,persons,2283760
2022,80-84,persons,1437660
2022,85-89,persons,904522
2022,90-94,persons,402579
2022,95-99,persons,103462
2023,0-4,male,1555337
2023,5-9,male,1699648
2023,10-14,male,1798745
2023,15-19,male,1761118
2023,20-24,male,1807379
2023,25-29,male,1898591
2023,30-34,male,1978361
2023,35-39,male,1922683
2023,40-44,male,1847200
2023,45-49,male,1694911
2023,50-54,male,1878389
2023,55-59,male,1900182
2023,60-64,male,1705316
2023,65-69,male,1402175
2023,70-74,male,1233102
2023,75-79,male,1112987
2023,80-84,male,654181
2023,85-89,male,378919
2023,90-94,male,142851
2023,95-99,male,28063
2023,0-4,female,1482408
2023,5-9,female,1621570
2023,10-14,female,1712600
2023,15-19,female,1661858
2023,20-24,female,1743128
2023,25-29,female,1930672
2023,30-34,female,2087616
2023,35-39,female,2053294
2023,40-44,female,1946569
2023,45-49,female,1748589
2023,50-54,female,1940691
2023,55-59,female,1971334
2023,60-64,female,1770575
2023,65-69,female,1483516
2023,70-74,female,1358083
2023,75-79,female,1276390
2023,80-84,female,824712
2023,85-89,female,548611
2023,90-94,female,261413
2023,95-99,female,72975
2023,0-4,persons,3037745
2023,5-9,persons,3321218
2023,10-14,persons,3511345
2023,15-19,persons,3422976
2023,20-24,persons,3550507
2023,25-29,persons,3829263
2023,30-34,persons,4065977
2023,35-39,persons,3975977
2023,40-44,persons,3793769
2023,45-49,persons,3443500
2023,50-54,persons,3819080
2023,55-59,persons,3871516
2023,60-64,persons,3475891
2023,65-69,persons,2885691
2023,70-74,persons,2591185
2023,75-79,persons,2389377
2023,80-84,persons,1478893
2023,85-89,persons,927530
2023,90-94,persons,404264
2023,95-99,persons,101038
2024,0-4,male,1540171
2024,5-9,male,1694182
2024,10-14,male,1798882
2024,15-19,male,1795141
2024,20-24,male,1860880
2024,25-29,male,1945598
2024,30-34,male,2018932
2024,35-39,male,1973333
2024,40-44,male,1869913
2024,45-49,male,1712015
2024,50-54,male,1840565
2024,55-59,male,1900315
2024,60-64,male,1748661
2024,65-69,male,1436992
2024,70-74,male,1221839
2024,75-79,male,1133138
2024,80-84,male,685975
2024,85-89,male,390310
2024,90-94,male,146649
2024,95-99,male,28850
2024,0-4,female,1467057
2024,5-9,female,1614194
2024,10-14,female,1713111
2024,15-19,female,1696720
2024,20-24,female,1779853
2024,25-29,female,1958263
2024,30-34,female,2115182
2024,35-39,female,2103479
2024,40-44,female,1976808
2024,45-49,female,1771615
2024,50-54,female,1900892
2024,55-59,female,1973132
2024,60-64,female,1821375
2024,65-69,female,1517854
2024,70-74,female,1346372
2024,75-79,female,1301623
2024,80-84,female,858406
2024,85-89,female,561290
2024,90-94,female,263259
2024,95-99,female,72572
2024,0-4,persons,3007228
2024,5-9,persons,3308376
2024,10-14,persons,3511993
2024,15-19,persons,3491861
2024,20-24,persons,3640733
2024,25-29,persons,3903861
2024,30-34,persons,4134114
2024,35-39,persons,4076812
2024,40-44,persons,3846721
2024,45-49,persons,3483630
2024,50-54,persons,3741457
2024,55-59,persons,3873447
2024,60-64,persons,3570036
2024,65-69,persons,2954846
2024,70-74,persons,2568211
2024,75-79,persons,2434761
2024,80-84,persons,1544381
2024,85-89,persons,951600
2024,90-94,persons,409908
