Age Group,Sex,Year,Population
0 - 4,Females,2022,1497099
5 - 9,Females,2022,1629351
10 - 14,Females,2022,1705034
15 - 19,Females,2022,1606478
20 - 24,Females,2022,1695715
25 - 29,Females,2022,1884992
30 - 34,Females,2022,2058539
35 - 39,Females,2022,1994319
40 - 44,Females,2022,1887642
45 - 49,Females,2022,1765240
50 - 54,Females,2022,1965506
55 - 59,Females,2022,1961166
60 - 64,Females,2022,1719417
65 - 69,Females,2022,1453538
70 - 74,Females,2022,1393523
75 - 79,Females,2022,1219566
80 - 84,Females,2022,803315
85 - 89,Females,2022,536705
90 - 94,Females,2022,262268
95 - 99,Females,2022,75398
100 & over,Females,2022,11699
0 - 4,Females,2023,1482408
5 - 9,Females,2023,1621570
10 - 14,Females,2023,1712600
15 - 19,Females,2023,1661858
20 - 24,Females,2023,1743128
25 - 29,Females,2023,1930672
30 - 34,Females,2023,2087616
35 - 39,Females,2023,2053294
40 - 44,Females,2023,1946569
45 - 49,Females,2023,1748589
50 - 54,Females,2023,1940691
55 - 59,Females,2023,1971334
60 - 64,Females,2023,1770575
65 - 69,Females,2023,1483516
70 - 74,Females,2023,1358083
75 - 79,Females,2023,1276390
80 - 84,Females,2023,824712
85 - 89,Females,2023,548611
90 - 94,Females,2023,261413
95 - 99,Females,2023,72975
100 & over,Females,2023,10946
0 - 4,Females,2024,1467057
5 - 9,Females,2024,1614194
10 - 14,Females,2024,1713111
15 - 19,Females,2024,1696720
20 - 24,Females,2024,1779853
25 - 29,Females,2024,1958263
30 - 34,Females,2024,2115182
35 - 39,Females,2024,2103479
40 - 44,Females,2024,1976808
45 - 49,Females,2024,1771615
50 - 54,Females,2024,1900892
55 - 59,Females,2024,1973132
60 - 64,Females,2024,1821375
65 - 69,Females,2024,1517854
70 - 74,Females,2024,1346372
75 - 79,Females,2024,1301623
80 - 84,Females,2024,858406
85 - 89,Females,2024,561290
90 - 94,Females,2024,263259
95 - 99,Females,2024,72572
100 & over,Females,2024,10339
0 - 4,Females,2025,1454774
5 - 9,Females,2025,1602819
10 - 14,Females,2025,1707875
15 - 19,Females,2025,1728691
20 - 24,Females,2025,1813378
25 - 29,Females,2025,1976566
30 - 34,Females,2025,2126617
35 - 39,Females,2025,2143136
40 - 44,Females,2025,2002178
45 - 49,Females,2025,1815860
50 - 54,Females,2025,1865862
55 - 59,Females,2025,1961055
60 - 64,Females,2025,1869297
65 - 69,Females,2025,1561965
70 - 74,Females,2025,1340348
75 - 79,Females,2025,1319598
80 - 84,Females,2025,891988
85 - 89,Females,2025,568331
90 - 94,Females,2025,267960
95 - 99,Females,2025,73653
100 & over,Females,2025,9826
0 - 4,Females,2026,1449966
5 - 9,Females,2026,1577939
10 - 14,Females,2026,1699924
15 - 19,Females,2026,1760135
20 - 24,Females,2026,1838922
25 - 29,Females,2026,1986919
30 - 34,Females,2026,2127640
35 - 39,Females,2026,2178944
40 - 44,Females,2026,2029974
45 - 49,Females,2026,1866905
50 - 54,Females,2026,1813781
55 - 59,Females,2026,1959975
60 - 64,Females,2026,1902314
65 - 69,Females,2026,1610413
70 - 74,Females,2026,1350151
75 - 79,Females,2026,1325589
80 - 84,Females,2026,936617
85 - 89,Females,2026,565632
90 - 94,Females,2026,274772
95 - 99,Females,2026,74929
100 & over,Females,2026,9456
0 - 4,Females,2027,1440701
5 - 9,Females,2027,1561428
10 - 14,Females,2027,1682201
15 - 19,Females,2027,1783095
20 - 24,Females,2027,1859175
25 - 29,Females,2027,1979200
30 - 34,Females,2027,2134139
35 - 39,Females,2027,2203423
40 - 44,Females,2027,2067644
45 - 49,Females,2027,1919908
50 - 54,Females,2027,1770861
55 - 59,Females,2027,1943947
60 - 64,Females,2027,1920087
65 - 69,Females,2027,1661898
70 - 74,Females,2027,1373273
75 - 79,Females,2027,1265842
80 - 84,Females,2027,1029324
85 - 89,Females,2027,573987
90 - 94,Females,2027,283298
95 - 99,Females,2027,76492
100 & over,Females,2027,9214
0 - 4,Females,2028,1444556
5 - 9,Females,2028,1534654
10 - 14,Females,2028,1665088
15 - 19,Females,2028,1781014
20 - 24,Females,2028,1882354
25 - 29,Females,2028,1968447
30 - 34,Females,2028,2136723
35 - 39,Females,2028,2205640
40 - 44,Females,2028,2110906
45 - 49,Females,2028,1969228
50 - 54,Females,2028,1749020
55 - 59,Females,2028,1915865
60 - 64,Females,2028,1927554
65 - 69,Females,2028,1710489
70 - 74,Females,2028,1402128
75 - 79,Females,2028,1235313
80 - 84,Females,2028,1080947
85 - 89,Females,2028,594584
90 - 94,Females,2028,293383
95 - 99,Females,2028,78014
100 & over,Females,2028,9131
0 - 4,Females,2029,1449071
5 - 9,Females,2029,1510863
10 - 14,Females,2029,1651294
15 - 19,Females,2029,1775536
20 - 24,Females,2029,1895501
25 - 29,Females,2029,1964849
30 - 34,Females,2029,2134370
35 - 39,Females,2029,2214397
40 - 44,Females,2029,2150107
45 - 49,Females,2029,1992898
50 - 54,Females,2029,1768127
55 - 59,Females,2029,1874318
60 - 64,Females,2029,1927636
65 - 69,Females,2029,1758984
70 - 74,Females,2029,1435218
75 - 79,Females,2029,1225742
80 - 84,Females,2029,1104205
85 - 89,Females,2029,623845
90 - 94,Females,2029,302431
95 - 99,Females,2029,79991
100 & over,Females,2029,9248
0 - 4,Females,2030,1452157
5 - 9,Females,2030,1492151
10 - 14,Females,2030,1634975
15 - 19,Females,2030,1766121
20 - 24,Females,2030,1913255
25 - 29,Females,2030,1967898
30 - 34,Females,2030,2129384
35 - 39,Females,2030,2211034
40 - 44,Females,2030,2181141
45 - 49,Females,2030,2013198
50 - 54,Females,2030,1809010
55 - 59,Females,2030,1838140
60 - 64,Females,2030,1914624
65 - 69,Females,2030,1804831
70 - 74,Females,2030,1477600
75 - 79,Females,2030,1221295
80 - 84,Females,2030,1120063
85 - 89,Females,2030,652003
90 - 94,Females,2030,307955
95 - 99,Females,2030,83102
100 & over,Females,2030,9596
0 - 4,Females,2031,1454317
5 - 9,Females,2031,1483006
10 - 14,Females,2031,1606733
15 - 19,Females,2031,1755497
20 - 24,Females,2031,1936426
25 - 29,Females,2031,1973417
30 - 34,Females,2031,2123653
35 - 39,Females,2031,2201752
40 - 44,Females,2031,2210868
45 - 49,Females,2031,2037444
50 - 54,Females,2031,1857453
55 - 59,Females,2031,1785953
60 - 64,Females,2031,1912865
65 - 69,Females,2031,1836513
70 - 74,Females,2031,1524328
75 - 79,Females,2031,1231457
80 - 84,Females,2031,1124923
85 - 89,Females,2031,686715
90 - 94,Females,2031,307451
95 - 99,Females,2031,86731
100 & over,Females,2031,9950
0 - 4,Females,2032,1456051
5 - 9,Females,2032,1471609
10 - 14,Females,2032,1588522
15 - 19,Females,2032,1736461
20 - 24,Females,2032,1955798
25 - 29,Females,2032,1983975
30 - 34,Females,2032,2107673
35 - 39,Females,2032,2202864
40 - 44,Females,2032,2232138
45 - 49,Females,2032,2073163
50 - 54,Females,2032,1908778
55 - 59,Females,2032,1743503
60 - 64,Females,2032,1896976
65 - 69,Females,2032,1853781
70 - 74,Females,2032,1574175
75 - 79,Females,2032,1254009
80 - 84,Females,2032,1076885
85 - 89,Females,2032,760317
90 - 94,Females,2032,314482
95 - 99,Females,2032,90706
100 & over,Females,2032,10327
0 - 4,Females,2033,1457828
5 - 9,Females,2033,1475483
10 - 14,Females,2033,1561826
15 - 19,Females,2033,1719406
20 - 24,Females,2033,1953802
25 - 29,Females,2033,2007174
30 - 34,Females,2033,2096989
35 - 39,Females,2033,2205496
40 - 44,Females,2033,2234434
45 - 49,Females,2033,2116256
50 - 54,Females,2033,1957558
55 - 59,Females,2033,1722511
60 - 64,Females,2033,1869915
65 - 69,Females,2033,1861435
70 - 74,Females,2033,1621454
75 - 79,Females,2033,1282154
80 - 84,Females,2033,1053282
85 - 89,Females,2033,801457
90 - 94,Females,2033,329686
95 - 99,Females,2033,94906
100 & over,Females,2033,10687
0 - 4,Females,2034,1459962
5 - 9,Females,2034,1480011
10 - 14,Females,2034,1538110
15 - 19,Females,2034,1705677
20 - 24,Females,2034,1948385
25 - 29,Females,2034,2020453
30 - 34,Females,2034,2093443
35 - 39,Females,2034,2203195
40 - 44,Females,2034,2243263
45 - 49,Females,2034,2155298
50 - 54,Females,2034,1981039
55 - 59,Females,2034,1741768
60 - 64,Females,2034,1829792
65 - 69,Females,2034,1861996
70 - 74,Females,2034,1668535
75 - 79,Females,2034,1314269
80 - 84,Females,2034,1047206
85 - 89,Females,2034,820165
90 - 94,Females,2034,350063
95 - 99,Females,2034,98474
100 & over,Females,2034,11144
0 - 4,Females,2035,1462573
5 - 9,Females,2035,1483107
10 - 14,Females,2035,1519455
15 - 19,Females,2035,1689427
20 - 24,Females,2035,1939095
25 - 29,Females,2035,2038318
30 - 34,Females,2035,2096521
35 - 39,Females,2035,2198249
40 - 44,Females,2035,2240016
45 - 49,Females,2035,2186260
50 - 54,Females,2035,2001303
55 - 59,Females,2035,1782359
60 - 64,Females,2035,1794978
65 - 69,Females,2035,1849919
70 - 74,Females,2035,1712947
75 - 79,Females,2035,1354712
80 - 84,Females,2035,1045308
85 - 89,Females,2035,831952
90 - 94,Females,2035,368634
95 - 99,Females,2035,100746
100 & over,Females,2035,11825
0 - 4,Females,2036,1465762
5 - 9,Females,2036,1485279
10 - 14,Females,2036,1510343
