Year,Age,Sex,Population
2022,0-4,male,1616586.0
2022,5-9,male,1791472.0
2022,10-14,male,1831728.0
2022,15-19,male,1681017.0
2022,20-24,male,1724069.0
2022,25-29,male,1900797.0
2022,30-34,male,1966797.0
2022,35-39,male,1874984.0
2022,40-44,male,1807515.0
2022,45-49,male,1711903.0
2022,50-54,male,1894173.0
2022,55-59,male,1899352.0
2022,60-64,male,1668149.0
2022,65-69,male,1392992.0
2022,70-74,male,1288895.0
2022,75-79,male,1087002.0
2022,80-84,male,653437.0
2022,85-89,male,382231.0
2022,90-94,male,149531.0
2022,95-99,male,32409.999999999996
2022,0-4,female,1539989.0
2022,5-9,female,1703291.0
2022,10-14,female,1744902.0
2022,15-19,female,1590329.0
2022,20-24,female,1624869.0
2022,25-29,female,1806336.0
2022,30-34,female,1931856.0
2022,35-39,female,1901747.0
2022,40-44,female,1840111.0
2022,45-49,female,1738246.0
2022,50-54,female,1945983.0
2022,55-59,female,1963994.0
2022,60-64,female,1734885.0
2022,65-69,female,1478659.0
2022,70-74,female,1415794.0
2022,75-79,female,1236155.0
2022,80-84,female,817933.0
2022,85-89,female,548588.0
2022,90-94,female,269517.0
2022,95-99,female,78878.0
2022,0-4,persons,3156575.0
2022,5-9,persons,3494763.0
2022,10-14,persons,3576630.0
2022,15-19,persons,3271346.0
2022,20-24,persons,3348938.0
2022,25-29,persons,3707133.0
2022,30-34,persons,3898653.0
2022,35-39,persons,3776731.0
2022,40-44,persons,3647626.0
2022,45-49,persons,3450149.0
2022,50-54,persons,3840156.0
2022,55-59,persons,3863346.0
2022,60-64,persons,3403034.0
2022,65-69,persons,2871651.0
2022,70-74,persons,2704689.0
2022,75-79,persons,2323157.0
2022,80-84,persons,1471370.0
2022,85-89,persons,930819.0
2022,90-94,persons,419048.0
2022,95-99,persons,111288.0
2023,0-4,male,1601888.0
2023,5-9,male,1769504.0
2023,10-14,male,1844843.0
2023,15-19,male,1734211.0
2023,20-24,male,1705836.0
2023,25-29,male,1888732.0
2023,30-34,male,1965640.0
