,Age Group,Sex,Year,Population_2018,Population_2022,Population_Difference,Percentage_Difference
252,0-4,male,2022,1616586.0,1568276.0,-48310.0,-2.9883965344250165
253,5-9,male,2022,1791472.0,1707638.0,-83834.0,-4.679615422401243
254,10-14,male,2022,1831728.0,1789255.0,-42473.0,-2.318739463501131
255,15-19,male,2022,1681017.0,1703618.0,22601.0,1.3444837262204963
256,20-24,male,2022,1724069.0,1740839.0,16770.0,0.9726988885015622
257,25-29,male,2022,1900797.0,1836278.0,-64519.0,-3.3943130171186087
258,30-34,male,2022,1966797.0,1933496.0,-33301.0,-1.6931589787863213
259,35-39,male,2022,1874984.0,1865668.0,-9316.0,-0.49685757318462453
260,40-44,male,2022,1807515.0,1798188.0,-9327.0,-0.5160123152504958
261,45-49,male,2022,1711903.0,1713834.0,1931.0,0.11279844710827658
262,50-54,male,2022,1894173.0,1901068.0,6895.0,0.3640111014147071
263,55-59,male,2022,1899352.0,1892533.0,-6819.0,-0.3590171805963297
264,60-64,male,2022,1668149.0,1661598.0,-6551.0,-0.3927107230828901
265,65-69,male,2022,1392992.0,1372227.0,-20765.0,-1.4906761847878525
266,70-74,male,2022,1288895.0,1264199.0,-24696.0,-1.9160598807505653
267,75-79,male,2022,1087002.0,1064194.0,-22808.0,-2.098248209294923
268,80-84,male,2022,653437.0,634345.0,-19092.0,-2.9217812887853
269,85-89,male,2022,382231.0,367817.0,-14414.0,-3.7710180492947982
270,90-94,male,2022,149531.0,140311.0,-9220.0,-6.165945523001919
271,95-99,male,2022,32409.999999999996,28064.0,-4345.999999999996,-13.409441530391844
272,100&over,male,2022,3064.0,2586.0,-478.0,-15.60052219321149
273,0-4,female,2022,1539989.0,1497099.0,-42890.0,-2.785084828527996
274,5-9,female,2022,1703291.0,1629351.0,-73940.0,-4.341008083762551
275,10-14,female,2022,1744902.0,1705034.0,-39868.0,-2.2848274573586367
276,15-19,female,2022,1590329.0,1606478.0,16149.0,1.015450262178455
277,20-24,female,2022,1624869.0,1695715.0,70846.0,4.360105337722611
278,25-29,female,2022,1806336.0,1884992.0,78656.0,4.354450113378685
279,30-34,female,2022,1931856.0,2058539.0,126683.0,6.557579861024839
280,35-39,female,2022,1901747.0,1994319.0,92572.0,4.867734772290952
281,40-44,female,2022,1840111.0,1887642.0,47531.0,2.5830506963982063
282,45-49,female,2022,1738246.0,1765240.0,26994.0,1.5529447500526392
283,50-54,female,2022,1945983.0,1965506.0,19523.0,1.0032461742985421
284,55-59,female,2022,1963994.0,1961166.0,-2828.0,-0.14399229325547838
285,60-64,female,2022,1734885.0,1719417.0,-15468.0,-0.89158647403142
286,65-69,female,2022,1478659.0,1453538.0,-25121.0,-1.6989042098279588
287,70-74,female,2022,1415794.0,1393523.0,-22271.0,-1.5730395806169541
288,75-79,female,2022,1236155.0,1219566.0,-16589.0,-1.3419838127095711
289,80-84,female,2022,817933.0,803315.0,-14618.0,-1.7871879481571227
290,85-89,female,2022,548588.0,536705.0,-11883.0,-2.166106440534609
291,90-94,female,2022,269517.0,262268.0,-7249.0,-2.6896262573418377
292,95-99,female,2022,78878.0,75398.0,-3480.0,-4.4118765688785215
293,100&over,female,2022,11939.0,11699.0,-240.0,-2.010218611273976
294,0-4,persons,2022,3156575.0,3065375.0,-91200.0,-2.889207447945954
