Age Group,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,Sex
————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,Male
  0-4,1716.253,1691,1667.562,1639.172,1616.586,1601.888,1598.494,1593.288,1589.749,1588.201,1587.814,1587.881,1588.833,1591.026,1594.852,1600.626,1608.26,1617.642,1628.854,1641.828,1656.324,1672.025,1688.233,1704.085,1718.786,1731.619,1741.834,1749.354,1754.141,1756.192,1755.619,1752.901,1748.329,1742.315,1735.336,1727.886,1720.44,1713.447,1707.271,1702.186,1698.4,1696.048,1695.184,1695.797,1697.813,1701.14,1705.658,1711.227,1717.659,1724.784,1732.423,1740.398,1748.516,1756.568,1764.357,1771.697,1778.417,1784.358,1789.401,1793.466,1796.511,1798.536,1799.587,1799.755,1799.149,1797.931,1796.262,1794.316,1792.283,1790.336,1788.642,1787.34,1786.555,1786.363,1786.833,1787.993,1789.84,1792.351,1795.47,1799.13,1803.243,1807.708,1812.419,1817.271,1822.15,1826.956,1831.587,1835.957,1839.999,1843.655,1846.877,1849.639,1851.933,1853.784,1855.211,1856.257,1856.971,1857.424,1857.684,1857.825,1857.935,Male
  5-9,1803.934,1813.827,1816.234,1812.523,1791.472,1769.504,1742.118,1716.525,1686.725,1663.039,1647.574,1643.803,1638.631,1635.117,1633.584,1633.221,1633.304,1634.276,1636.486,1640.322,1646.107,1653.752,1663.14,1674.357,1687.331,1701.833,1717.536,1733.737,1749.584,1764.279,1777.109,1787.32,1794.843,1799.634,1801.692,1801.135,1798.434,1793.874,1787.878,1780.918,1773.489,1766.066,1759.092,1752.927,1747.859,1744.086,1741.75,1740.894,1741.518,1743.539,1746.871,1751.395,1756.977,1763.42,1770.553,1778.197,1786.174,1794.291,1802.343,1810.136,1817.478,1824.2,1830.143,1835.189,1839.256,1842.308,1844.339,1845.397,1845.576,1844.98,1843.769,1842.109,1840.172,1838.148,1836.216,1834.529,1833.239,1832.462,1832.279,1832.76,1833.926,1835.778,1838.295,1841.416,1845.076,1849.192,1853.667,1858.386,1863.241,1868.127,1872.933,1877.568,1881.941,1885.984,1889.643,1892.868,1895.641,1897.939,1899.795,1901.229,1902.277,Male
 10-14,1677.771,1720.739,1763.32,1797.691,1831.728,1844.843,1853.059,1853.741,1848.987,1827.173,1804.697,1777.079,1751.531,1721.776,1698.127,1682.681,1678.927,1673.763,1670.261,1668.741,1668.389,1668.482,1669.466,1671.679,1675.525,1681.315,1688.966,1698.361,1709.578,1722.553,1737.053,1752.751,1768.956,1784.801,1799.493,1812.317,1822.525,1830.053,1834.844,1836.906,1836.35,1833.657,1829.11,1823.127,1816.174,1808.761,1801.355,1794.388,1788.236,1783.177,1779.409,1777.08,1776.235,1776.866,1778.895,1782.231,1786.763,1792.351,1798.797,1805.929,1813.574,1821.553,1829.673,1837.731,1845.526,1852.865,1859.581,1865.521,1870.569,1874.64,1877.696,1879.732,1880.797,1880.978,1880.391,1879.184,1877.536,1875.602,1873.583,1871.654,1869.973,1868.683,1867.912,1867.742,1868.232,1869.407,1871.263,1873.785,1876.908,1880.569,1884.69,1889.162,1893.881,1898.736,1903.623,1908.435,1913.075,1917.455,1921.501,1925.161,1928.385,Male
 15-19,1589.871,1586.96,1598.382,1632.527,1681.017,1734.211,1775.111,1815.589,1848.64,1881.75,1894.287,1902.252,1902.957,1898.223,1876.468,1854.049,1826.486,1800.984,1771.287,1747.685,1732.279,1728.554,1723.396,1719.908,1718.4,1718.056,1718.158,1719.153,1721.377,1725.231,1731.031,1738.689,1748.088,1759.31,1772.287,1786.79,1802.493,1818.694,1834.541,1849.234,1862.056,1872.266,1879.799,1884.596,1886.67,1886.126,1883.445,1878.91,1872.943,1866.007,1858.612,1851.215,1844.262,1838.121,1833.074,1829.323,1827.008,1826.171,1826.813,1828.847,1832.191,1836.73,1842.328,1848.778,1855.916,1863.567,1871.549,1879.673,1887.735,1895.529,1902.867,1909.588,1915.533,1920.585,1924.659,1927.719,1929.759,1930.837,1931.029,1930.452,1929.258,1927.613,1925.681,1923.669,1921.746,1920.073,1918.794,1918.033,1917.869,1918.362,1919.541,1921.409,1923.937,1927.063,1930.724,1934.848,1939.323,1944.045,1948.907,1953.796,1958.61,Male
 20-24,1805.668,1794.185,1781.677,1755.833,1724.069,1705.836,1698.012,1704.488,1735.084,1781.076,1832.761,1873.016,1913.53,1946.614,1979.723,1992.301,2000.311,2001.089,1996.473,1974.835,1952.529,1925.091,1899.728,1870.118,1846.562,1831.173,1827.438,1822.287,1818.809,1817.303,1816.963,1817.073,1818.077,1820.316,1824.186,1829.998,1837.667,1847.087,1858.327,1871.32,1885.835,1901.553,1917.769,1933.633,1948.342,1961.186,1971.428,1978.982,1983.807,1985.913,1985.402,1982.744,1978.244,1972.303,1965.395,1958.026,1950.655,1943.724,1937.598,1932.57,1928.835,1926.53,1925.698,1926.344,1928.392,1931.747,1936.294,1941.901,1948.362,1955.512,1963.178,1971.175,1979.316,1987.395,1995.208,2002.568,2009.309,2015.274,2020.344,2024.432,2027.511,2029.574,2030.67,2030.874,2030.312,2029.126,2027.497,2025.584,2023.585,2021.675,2020.015,2018.738,2017.99,2017.84,2018.347,2019.537,2021.408,2023.94,2027.072,2030.739,2034.876,Male
 25-29,1935.98,1940.818,1928.025,1910.227,1900.797,1888.732,1871.775,1853.578,1823.509,1788.44,1767.891,1758.918,1765.414,1796.049,1842.105,1893.867,1934.221,1974.808,2007.952,2041.114,2053.749,2061.783,2062.573,2057.954,2036.338,2014.042,1986.602,1961.212,1931.595,1908.05,1892.684,1888.974,1883.855,1880.399,1878.92,1878.608,1878.744,1879.766,1882.024,1885.912,1891.75,1899.435,1908.875,1920.134,1933.147,1947.682,1963.418,1979.658,1995.539,2010.271,2023.135,2033.399,2040.969,2045.809,2047.928,2047.426,2044.774,2040.274,2034.339,2027.43,2020.062,2012.697,2005.776,1999.66,1994.638,1990.911,1988.619,1987.803,1988.465,1990.527,1993.897,1998.462,2004.087,2010.563,2017.735,2025.413,2033.421,2041.574,2049.671,2057.495,2064.868,2071.62,2077.594,2082.674,2086.776,2089.864,2091.934,2093.029,2093.241,2092.682,2091.502,2089.882,2087.972,2085.978,2084.073,2082.418,2081.153,2080.413,2080.269,2080.784,2081.978,Male
 30-34,1889.726,1908.854,1925.181,1947.55,1966.797,1965.64,1966.896,1950.422,1930.031,1918.577,1905.119,1887.508,1869.434,1839.508,1804.592,1784.163,1775.295,1781.866,1812.52,1858.547,1910.251,1950.574,1991.117,2024.245,2057.384,2070.026,2078.075,2078.892,2074.32,2052.786,2030.565,2003.203,1977.899,1948.4,1924.959,1909.678,1906.026,1900.961,1897.555,1896.121,1895.848,1896.027,1897.089,1899.386,1903.316,1909.185,1916.897,1926.355,1937.636,1950.663,1965.211,1980.956,1997.207,2013.1,2027.838,2040.718,2050.997,2058.587,2063.448,2065.59,2065.111,2062.492,2058.025,2052.127,2045.262,2037.938,2030.615,2023.728,2017.654,2012.671,2008.987,2006.728,2005.947,2006.632,2008.727,2012.122,2016.712,2022.359,2028.856,2036.044,2043.743,2051.768,2059.933,2068.044,2075.883,2083.27,2090.04,2096.033,2101.127,2105.247,2108.353,2110.437,2111.552,2111.786,2111.254,2110.098,2108.497,2106.608,2104.641,2102.757,2101.125,Male
 35-39,1845.854,1855.64,1863.185,1871.133,1874.984,1891.327,1908.246,1922.34,1943.218,1961.26,1959.332,1960.255,1943.967,1923.801,1912.539,1899.257,1881.828,1863.925,1834.222,1799.553,1779.324,1770.611,1777.269,1807.901,1853.83,1905.403,1945.619,1986.069,2019.13,2052.213,2064.872,2072.954,2073.836,2069.354,2047.982,2025.92,1998.721,1973.585,1944.273,1921.001,1905.852,1902.283,1897.301,1893.968,1892.604,1892.402,1892.649,1893.768,1896.12,1900.105,1906.02,1913.775,1923.269,1934.575,1947.628,1962.191,1977.947,1994.209,2010.111,2024.864,2037.759,2048.059,2055.679,2060.581,2062.767,2062.344,2059.781,2055.381,2049.549,2042.752,2035.5,2028.251,2021.439,2015.427,2010.51,2006.888,2004.686,2003.95,2004.682,2006.82,2010.252,2014.881,2020.564,2027.089,2034.305,2042.027,2050.077,2058.266,2066.402,2074.264,2081.677,2088.474,2094.491,2099.613,2103.76,2106.897,2109.019,2110.175,2110.449,2109.957,2108.834,Male
 40-44,1686.506,1700.317,1732.546,1769.745,1807.515,1840.546,1848.824,1854.833,1861.854,1865.017,1880.832,1897.467,1911.572,1932.424,1950.416,1948.597,1949.632,1933.563,1913.673,1902.637,1889.575,1872.385,1854.711,1825.316,1791,1771.048,1762.554,1769.323,1799.923,1845.703,1897.083,1937.162,1977.483,2010.465,2043.474,2056.176,2064.327,2065.31,2060.969,2039.836,2018.001,1991.042,1966.154,1937.117,1914.084,1899.123,1895.676,1890.817,1887.602,1886.341,1886.238,1886.573,1887.784,1890.219,1894.277,1900.261,1908.083,1917.626,1928.975,1942.062,1956.654,1972.44,1988.72,2004.64,2019.416,2032.346,2042.682,2050.352,2055.309,2057.567,2057.229,2054.763,2050.46,2044.732,2038.04,2030.893,2023.747,2017.038,2011.134,2006.303,2002.764,2000.64,1999.975,2000.78,2002.98,2006.471,2011.155,2016.887,2023.454,2030.715,2038.478,2046.563,2054.792,2062.966,2070.87,2078.327,2085.163,2091.224,2096.391,2100.579,2103.769,Male
