Age,Sex,Year,Population_2018,Population_2022,Population_Difference,Percentage_Change
0-4,male,2022,1616586.0,1568276,-48310.0,-2.9883965344250165
5-9,male,2022,1791472.0,1707638,-83834.0,-4.679615422401243
10-14,male,2022,1831728.0,1789255,-42473.0,-2.318739463501131
15-19,male,2022,1681017.0,1703618,22601.0,1.3444837262204965
20-24,male,2022,1724069.0,1740839,16770.0,0.9726988885015622
25-29,male,2022,1900797.0,1836278,-64519.0,-3.3943130171186087
30-34,male,2022,1966797.0,1933496,-33301.0,-1.6931589787863213
35-39,male,2022,1874984.0,1865668,-9316.0,-0.4968575731846245
40-44,male,2022,1807515.0,1798188,-9327.0,-0.5160123152504958
45-49,male,2022,1711903.0,1713834,1931.0,0.1127984471082765
50-54,male,2022,1894173.0,1901068,6895.0,0.3640111014147071
55-59,male,2022,1899352.0,1892533,-6819.0,-0.3590171805963297
60-64,male,2022,1668149.0,1661598,-6551.0,-0.3927107230828901
65-69,male,2022,1392992.0,1372227,-20765.0,-1.4906761847878525
70-74,male,2022,1288895.0,1264199,-24696.0,-1.916059880750565
75-79,male,2022,1087002.0,1064194,-22808.0,-2.098248209294923
80-84,male,2022,653437.0,634345,-19092.0,-2.9217812887853
85-89,male,2022,382231.0,367817,-14414.0,-3.7710180492947982
90-94,male,2022,149531.0,140311,-9220.0,-6.165945523001919
95-99,male,2022,32409.999999999996,28064,-4345.999999999996,-13.409441530391844
0-4,female,2022,1539989.0,1497099,-42890.0,-2.785084828527996
5-9,female,2022,1703291.0,1629351,-73940.0,-4.341008083762551
10-14,female,2022,1744902.0,1705034,-39868.0,-2.2848274573586367
15-19,female,2022,1590329.0,1606478,16149.0,1.015450262178455
20-24,female,2022,1624869.0,1695715,70846.0,4.360105337722611
25-29,female,2022,1806336.0,1884992,78656.0,4.354450113378685
30-34,female,2022,1931856.0,2058539,126683.0,6.557579861024839
35-39,female,2022,1901747.0,1994319,92572.0,4.867734772290952
40-44,female,2022,1840111.0,1887642,47531.0,2.5830506963982063
45-49,female,2022,1738246.0,1765240,26994.0,1.5529447500526392
50-54,female,2022,1945983.0,1965506,19523.0,1.003246174298542
55-59,female,2022,1963994.0,1961166,-2828.0,-0.1439922932554783
60-64,female,2022,1734885.0,1719417,-15468.0,-0.89158647403142
65-69,female,2022,1478659.0,1453538,-25121.0,-1.6989042098279588
70-74,female,2022,1415794.0,1393523,-22271.0,-1.573039580616954
75-79,female,2022,1236155.0,1219566,-16589.0,-1.3419838127095711
80-84,female,2022,817933.0,803315,-14618.0,-1.787187948157123
85-89,female,2022,548588.0,536705,-11883.0,-2.166106440534609
90-94,female,2022,269517.0,262268,-7249.0,-2.6896262573418377
95-99,female,2022,78878.0,75398,-3480.0,-4.4118765688785215
0-4,persons,2022,3156575.0,3065375,-91200.0,-2.889207447945954
5-9,persons,2022,3494763.0,3336989,-157774.0,-4.514583678492647
10-14,persons,2022,3576630.0,3494289,-82341.0,-2.3021950830810005
15-19,persons,2022,3271346.0,3310096,38750.0,1.1845277142802992
20-24,persons,2022,3348938.0,3436554,87616.0,2.616232369784093
25-29,persons,2022,3707133.0,3721270,14137.0,0.3813459080103141
30-34,persons,2022,3898653.0,3992035,93382.0,2.3952375346049006
35-39,persons,2022,3776731.0,3859987,83256.0,2.204446120202895
40-44,persons,2022,3647626.0,3685830,38204.0,1.047366149928748
45-49,persons,2022,3450149.0,3479074,28925.0,0.8383695892554206
50-54,persons,2022,3840156.0,3866574,26418.0,0.6879408024049023
55-59,persons,2022,3863346.0,3853699,-9647.0,-0.2497058249507033
60-64,persons,2022,3403034.0,3381015,-22019.0,-0.6470402587808409
65-69,persons,2022,2871651.0,2825765,-45886.0,-1.5978961231709563
70-74,persons,2022,2704689.0,2657722,-46967.0,-1.7365027920030731
75-79,persons,2022,2323157.0,2283760,-39397.0,-1.695838895089742
80-84,persons,2022,1471370.0,1437660,-33710.0,-2.2910620714028425
85-89,persons,2022,930819.0,904522,-26297.0,-2.8251464570448177
90-94,persons,2022,419048.0,402579,-16469.0,-3.930098699910273
95-99,persons,2022,111288.0,103462,-7826.0,-7.032204730069728
0-4,male,2023,1601888.0,1555337,-46551.0,-2.90600841007611
5-9,male,2023,1769504.0,1699648,-69856.0,-3.94777293524061
10-14,male,2023,1844843.0,1798745,-46098.0,-2.4987492160579516
15-19,male,2023,1734211.0,1761118,26907.0,1.551541306104044
20-24,male,2023,1705836.0,1807379,101543.0,5.952682438405567
25-29,male,2023,1888732.0,1898591,9859.0,0.5219904147332708
30-34,male,2023,1965640.0,1978361,12721.0,0.6471683522923831
35-39,male,2023,1891327.0,1922683,31356.0,1.6578835917850272
40-44,male,2023,1840546.0,1847200,6654.0,0.3615231567154529
45-49,male,2023,1686963.0,1694911,7948.0,0.4711425206124852
50-54,male,2023,1871162.0,1878389,7227.0,0.3862305882654735
55-59,male,2023,1902985.0,1900182,-2803.0,-0.1472949077370552
60-64,male,2023,1712477.0,1705316,-7161.0,-0.4181662001883821
65-69,male,2023,1423440.0,1402175,-21265.0,-1.4939161467993032
70-74,male,2023,1260928.0,1233102,-27826.0,-2.206787381991676
75-79,male,2023,1139394.0,1112987,-26407.0,-2.3176355150193872
80-84,male,2023,676516.0,654181,-22335.0,-3.3014740227873403
85-89,male,2023,396295.0,378919,-17376.0,-4.384612473031454
90-94,male,2023,153799.0,142851,-10948.0,-7.118381784016801
95-99,male,2023,33591.0,28063,-5528.0,-16.456789020868683
0-4,female,2023,1527314.0,1482408,-44906.0,-2.940194354271617
5-9,female,2023,1682447.0,1621570,-60877.0,-3.618360637809096
10-14,female,2023,1756562.0,1712600,-43962.0,-2.5027297641643163
15-19,female,2023,1641377.0,1661858,20481.0,1.247793773155101
20-24,female,2023,1606048.0,1743128,137080.0,8.535236804877563
25-29,female,2023,1789037.0,1930672,141635.0,7.91682899794694
30-34,female,2023,1917667.0,2087616,169949.0,8.862279008816444
35-39,female,2023,1913961.0,2053294,139333.0,7.279824406035441
40-44,female,2023,1881596.0,1946569,64973.0,3.453079194471077
45-49,female,2023,1711031.0,1748589,37558.0,2.195050820236454
50-54,female,2023,1919211.0,1940691,21480.0,1.1192099253286898
55-59,female,2023,1969119.0,1971334,2215.0,0.1124868532577259
60-64,female,2023,1784538.0,1770575,-13963.0,-0.7824434111237755
65-69,female,2023,1510378.0,1483516,-26862.0,-1.7784951846491408
70-74,female,2023,1383793.0,1358083,-25710.0,-1.857936844600312
75-79,female,2023,1294007.0,1276390,-17617.0,-1.3614300386319391
80-84,female,2023,841955.0,824712,-17243.0,-2.047971684947533
85-89,female,2023,562084.0,548611,-13473.0,-2.396972694472712
90-94,female,2023,271487.0,261413,-10074.0,-3.7106749126109166
95-99,female,2023,78607.0,72975,-5632.0,-7.164756319411756
